"filename", "language", "C++", "CMake", "XML", "JSON", "Perl", "C", "Markdown", "LaTeX", "HTML", "Properties", "PostCSS", "Ruby", "Shell Script", "YAML", "Python", "CMake Cache", "Batch", "GLSL", "Objective-C++", "Objective-C", "Makefile", "Diff", "JavaScript", "comment", "blank", "total"
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.src.libFLAC-Debug-3cbd1e0ef8aab76ee9b0.json", "JSON", 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -51
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.src.libFLAC-MinSizeRel-d71fa5aef326a8196c32.json", "JSON", 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -51
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.src.libFLAC-RelWithDebInfo-bf078db33e3d939594de.json", "JSON", 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -51
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.flac-build.src.libFLAC-Release-50ae4d5d76b43bb34866.json", "JSON", 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -51
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.freetype-build-Debug-accc5b5e60f5f0e8270e.json", "JSON", 0, 0, 0, -94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -95
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.freetype-build-MinSizeRel-a7171b05f20d061338e7.json", "JSON", 0, 0, 0, -94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -95
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.freetype-build-RelWithDebInfo-5e8fea422d2760c7525d.json", "JSON", 0, 0, 0, -94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -95
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.freetype-build-Release-b0855632db91cb0dada8.json", "JSON", 0, 0, 0, -94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -95
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.ogg-build-Debug-fc44b9fa9dd328f41950.json", "JSON", 0, 0, 0, -91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -92
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.ogg-build-MinSizeRel-b5ea6e09967d1f60817e.json", "JSON", 0, 0, 0, -91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -92
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.ogg-build-RelWithDebInfo-21aabae80c929b0d598e.json", "JSON", 0, 0, 0, -91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -92
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.ogg-build-Release-d4e737e17d1ec698e72e.json", "JSON", 0, 0, 0, -91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -92
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build-Debug-552b0606cb3676c0b142.json", "JSON", 0, 0, 0, -290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -291
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build-MinSizeRel-552b0606cb3676c0b142.json", "JSON", 0, 0, 0, -290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -291
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build-RelWithDebInfo-552b0606cb3676c0b142.json", "JSON", 0, 0, 0, -290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -291
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build-Release-552b0606cb3676c0b142.json", "JSON", 0, 0, 0, -290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -291
"d:\coding\HelloSFML\build\.cmake\api\v1\reply\directory-_deps.sfml-build.src.SFML-Debug-66d770ddf3796f3d09ea.json", "JSON", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
